aca,group,king,number,rate,scenario,weight,chart
True,all,False,2875697.3,0.036266562999999995,current,1.0,states
True,all,True,3604564.55,0.045458597999999996,current,1.0,states
True,all,False,4023614.8,0.050743407000000004,noschip,1.0,states
True,all,True,4752482.05,0.059935442,noschip,1.0,states
True,all,False,4851939.0,0.061189732999999996,nomoe,1.0,states
False,all,False,5910675.1,0.07454187599999999,current,1.0,states
True,all,True,6184774.75,0.077998655,nomoe,1.0,states
True,ffmschip,False,1683487.7,0.038722936,current,0.55,states
True,ffmschip,True,2259611.45,0.051974713,current,0.55,states
True,ffmschip,False,2532173.43,0.058244079000000004,noschip,0.55,states
True,ffmschip,True,3108297.18,0.071495855,noschip,0.55,states
True,ffmschip,False,2766449.9,0.063632816,nomoe,0.55,states
False,ffmschip,False,3432614.3,0.078955673,current,0.55,states
True,ffmschip,True,3880703.35,0.089262445,nomoe,0.55,states
True,ffmnoschip,False,319750.97,0.037497479,current,0.11,states
True,ffmnoschip,True,472494.47,0.055409845,current,0.11,states
True,ffmnoschip,False,319750.97,0.037497479,noschip,0.11,states
True,ffmnoschip,True,472494.47,0.055409845,noschip,0.11,states
True,ffmnoschip,False,445594.82,0.052255299000000005,nomoe,0.11,states
False,ffmnoschip,False,691172.08,0.081054362,current,0.11,states
True,ffmnoschip,True,664177.08,0.077888634,nomoe,0.11,states
True,sbmschip,False,374649.34,0.028334573999999998,current,0.17,states
True,sbmschip,True,374649.34,0.028334573999999998,current,0.17,states
True,sbmschip,False,673881.08,0.050965345999999995,noschip,0.17,states
True,sbmschip,True,673881.08,0.050965345999999995,noschip,0.17,states
True,sbmschip,False,782227.58,0.059159547,nomoe,0.17,states
False,sbmschip,False,767053.67,0.05801195,current,0.17,states
True,sbmschip,True,782227.58,0.059159547,nomoe,0.17,states
True,sbmnoschip,False,497809.27,0.035384575,current,0.18,states
True,sbmnoschip,True,497809.27,0.035384575,current,0.18,states
True,sbmnoschip,False,497809.27,0.035384575,noschip,0.18,states
True,sbmnoschip,True,497809.27,0.035384575,noschip,0.18,states
True,sbmnoschip,False,857666.72,0.060963453,nomoe,0.18,states
False,sbmnoschip,False,1019835.1,0.072490477,current,0.18,states
True,sbmnoschip,True,857666.72,0.060963453,nomoe,0.18,states
